"COD_DEPTO","COD_DANE","OBJECTID","ID_ESPACIAL","AREA_OFICIAL","ENTIDAD_TERRITORIAL","NOM_DEPARTAMENTO","NOM_MUNICIPIO","INPOLY_FID","SIMPGNFLAG","MAXSIMPTOL","MINSIMPTOL","SHAPE.AREA","SHAPE.LEN","ID_DATO","ID_INDICADOR","DATO","UNIDAD_MEDIDA","VALOR","ANO","REGISTRO_ESPACIAL","SUBSISTEMA","TEMA","ID_UNIDAD_ESPACIAL",
"91","91540","27","91540","","PUERTO NARIÑO","AMAZONAS","PUERTO NARIÑO","1","","5000","5000","1519911506.82014","204531.733706839","1194","1261743","Producción de Aguacate","Tonelada","132","2015","PUERTO NARINO","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"91","91001","28","91001","","LETICIA","AMAZONAS","LETICIA","2","","5000","5000","6174022827.92758","368016.020440247","1194","1261742","Producción de Aguacate","Tonelada","25","2015","LETICIA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"52","52352","3","52352","","ILES","NARIÑO","ILES","20","","5000","5000","75933685.2761025","40291.9817240915","1194","1258425","Producción de Aguacate","Tonelada","5.25","2015","ILES","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"52","52320","16","52320","","GUAITARILLA","NARIÑO","GUAITARILLA","33","","5000","5000","107825022.089352","46467.639401984394","1194","1258424","Producción de Aguacate","Tonelada","3.5","2015","GUAITARILLA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"86","86755","19","86755","","SAN FRANCISCO","PUTUMAYO","SAN FRANCISCO","36","","5000","5000","392684910.993797","104895.737902146","1194","1261741","Producción de Aguacate","Tonelada","18","2015","SAN FRANCISCO","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"86","86219","20","86219","","COLÓN","PUTUMAYO","COLÓN","37","","5000","5000","55417435.3383396","37003.6112263057","1194","1261739","Producción de Aguacate","Tonelada","32","2015","COLON","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"86","86749","24","86749","","SIBUNDOY","PUTUMAYO","SIBUNDOY","41","","5000","5000","95489899.076674","48480.1831994689","1194","1261740","Producción de Aguacate","Tonelada","100","2015","SIBUNDOY","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"19","19022","44","19022","","ALMAGUER","CAUCA","ALMAGUER","84","","5000","5000","240436246.773863","69576.306413483","1194","1256198","Producción de Aguacate","Tonelada","20.7","2015","ALMAGUER","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"52","52256","45","52256","","EL ROSARIO","NARIÑO","EL ROSARIO","85","","5000","5000","519550834.537119","132375.33338604303","1194","1258423","Producción de Aguacate","Tonelada","60","2015","EL ROSARIO","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"41","41770","46","41770","","SUAZA","HUILA","SUAZA","86","","5000","5000","427662607.808973","87961.1491111963","1194","1258387","Producción de Aguacate","Tonelada","70","2015","SUAZA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"41","41807","48","41807","","TIMANÁ","HUILA","TIMANÁ","88","","5000","5000","178260677.947415","60597.6873663657","1194","1258392","Producción de Aguacate","Tonelada","40","2015","TIMANA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"41","41244","49","41244","","ELÍAS","HUILA","ELÍAS","89","","5000","5000","80388195.7673166","44968.985104171006","1194","1257319","Producción de Aguacate","Tonelada","155","2015","ELIAS","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"41","41530","97","41530","","PALESTINA","HUILA","PALESTINA","76","","5000","5000","193825656.193163","65607.1621895637","1194","1257332","Producción de Aguacate","Tonelada","330","2015","PALESTINA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
