"COD_DEPTO","COD_DANE","OBJECTID","ID_ESPACIAL","AREA_OFICIAL","ENTIDAD_TERRITORIAL","NOM_DEPARTAMENTO","NOM_MUNICIPIO","INPOLY_FID","SIMPGNFLAG","MAXSIMPTOL","MINSIMPTOL","SHAPE.AREA","SHAPE.LEN","ID_DATO","ID_INDICADOR","DATO","UNIDAD_MEDIDA","VALOR","ANO","REGISTRO_ESPACIAL","SUBSISTEMA","TEMA","ID_UNIDAD_ESPACIAL",
"41","41244","49","41244","","ELÍAS","HUILA","ELÍAS","89","","5000","5000","80388195.7673166","44968.985104171006","1194","271365","Producción de Aguacate","Tonelada","136","2007","ELIAS","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"85","85250","51","85250","","PAZ DE ARIPORO","CASANARE","PAZ DE ARIPORO","91","","5000","5000","12115350017.2052","597793.8162640721","1194","272022","Producción de Aguacate","Tonelada","8","2007","PAZ DE ARIPORO","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"05","05148","56","05148","","CARMEN DE VIBORAL","ANTIOQUIA","CARMEN DE VIBORAL","96","","5000","5000","413232505.824847","103121.574225396","1194","271648","Producción de Aguacate","Tonelada","180","2007","CARMEN DE VIBORAL","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"05","05615","58","05615","","RIONEGRO","ANTIOQUIA","RIONEGRO","98","","5000","5000","201290401.858613","63758.3406498896","1194","271675","Producción de Aguacate","Tonelada","1080","2007","RIONEGRO","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"05","05059","59","05059","","ARMENIA","ANTIOQUIA","ARMENIA","99","","5000","5000","113544916.83624","49390.9490104582","1194","271644","Producción de Aguacate","Tonelada","38.4","2007","ARMENIA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"05","05440","61","05440","","MARINILLA","ANTIOQUIA","MARINILLA","101","","5000","5000","111269456.733023","43870.2637207645","1194","271667","Producción de Aguacate","Tonelada","440","2007","MARINILLA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"66","66088","147","66088","","BELÉN DE UMBRÍA","RISARALDA","BELÉN DE UMBRÍA","132","","5000","5000","175910364.235541","51177.8323040244","1194","271705","Producción de Aguacate","Tonelada","253","2007","BELEN DE UMBRIA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"19","19760","152","19760","","SOTARÁ (Paispamba)","CAUCA","SOTARÁ (Paispamba)","137","","5000","5000","507862086.644146","121854.955648939","1194","271338","Producción de Aguacate","Tonelada","36","2007","SOTARA (Paispamba)","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"41","41396","160","41396","","LA PLATA","HUILA","LA PLATA","143","","5000","5000","807004130.590903","141357.019769211","1194","271370","Producción de Aguacate","Tonelada","189.20000000000002","2007","LA PLATA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"41","41306","107","41306","","GIGANTE","HUILA","GIGANTE","146","","5000","5000","509461209.783519","101280.444655962","1194","271367","Producción de Aguacate","Tonelada","190","2007","GIGANTE","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"17","17662","115","17662","","SAMANÁ","CALDAS","SAMANÁ","156","","5000","5000","765100967.049446","142334.571469891","1194","271330","Producción de Aguacate","Tonelada","30","2007","SAMANA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"41","41319","117","41319","","GUADALUPE","HUILA","GUADALUPE","158","","5000","5000","252112928.26977","67834.33270607071","1194","271368","Producción de Aguacate","Tonelada","55","2007","GUADALUPE","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"20","20238","120","20238","","EL COPEY","CESAR","EL COPEY","105","","5000","5000","956809229.232857","134580.52852822","1194","271345","Producción de Aguacate","Tonelada","144","2007","EL COPEY","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"20","20443","124","20443","","MANAURE BALCÓN DEL CESAR","CESAR","MANAURE BALCÓN DEL CESAR","109","","5000","5000","136816998.495151","64180.594460983906","1194","271347","Producción de Aguacate","Tonelada","500","2007","MANAURE BALCON DEL CESAR","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"20","20621","126","20621","","LA PAZ","CESAR","LA PAZ","111","","5000","5000","1097152852.76185","287587.65689821204","1194","271351","Producción de Aguacate","Tonelada","3000","2007","LA PAZ","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
