"COD_DEPTO","COD_DANE","OBJECTID","ID_ESPACIAL","AREA_OFICIAL","ENTIDAD_TERRITORIAL","NOM_DEPARTAMENTO","NOM_MUNICIPIO","INPOLY_FID","SIMPGNFLAG","MAXSIMPTOL","MINSIMPTOL","SHAPE.AREA","SHAPE.LEN","ID_DATO","ID_INDICADOR","DATO","UNIDAD_MEDIDA","VALOR","ANO","REGISTRO_ESPACIAL","SUBSISTEMA","TEMA","ID_UNIDAD_ESPACIAL",
"52","52352","3","52352","","ILES","NARIÑO","ILES","20","","5000","5000","75933685.2761025","40291.9817240915","1194","1192861","Producción de Aguacate","Tonelada","","2014","ILES","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"52","52320","16","52320","","GUAITARILLA","NARIÑO","GUAITARILLA","33","","5000","5000","107825022.089352","46467.639401984394","1194","1192860","Producción de Aguacate","Tonelada","15","2014","GUAITARILLA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"19","19022","44","19022","","ALMAGUER","CAUCA","ALMAGUER","84","","5000","5000","240436246.773863","69576.306413483","1194","1190683","Producción de Aguacate","Tonelada","6","2014","ALMAGUER","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"52","52256","45","52256","","EL ROSARIO","NARIÑO","EL ROSARIO","85","","5000","5000","519550834.537119","132375.33338604303","1194","1192859","Producción de Aguacate","Tonelada","72","2014","EL ROSARIO","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"41","41770","46","41770","","SUAZA","HUILA","SUAZA","86","","5000","5000","427662607.808973","87961.1491111963","1194","1191799","Producción de Aguacate","Tonelada","80","2014","SUAZA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"41","41807","48","41807","","TIMANÁ","HUILA","TIMANÁ","88","","5000","5000","178260677.947415","60597.6873663657","1194","1191804","Producción de Aguacate","Tonelada","","2014","TIMANA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"41","41244","49","41244","","ELÍAS","HUILA","ELÍAS","89","","5000","5000","80388195.7673166","44968.985104171006","1194","1191780","Producción de Aguacate","Tonelada","110","2014","ELIAS","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"41","41530","97","41530","","PALESTINA","HUILA","PALESTINA","76","","5000","5000","193825656.193163","65607.1621895637","1194","1191792","Producción de Aguacate","Tonelada","207","2014","PALESTINA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"52","52540","101","52540","","POLICARPA","NARIÑO","POLICARPA","80","","5000","5000","448464235.42387","101284.14629379","1194","1192867","Producción de Aguacate","Tonelada","9","2014","POLICARPA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"52","52233","102","52233","","CUMBITARA","NARIÑO","CUMBITARA","81","","5000","5000","347168823.46514","108763.59235341","1194","1192858","Producción de Aguacate","Tonelada","8","2014","CUMBITARA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"85","85315","54","85315","","SÁCAMA","CASANARE","SÁCAMA","94","","5000","5000","315898743.203044","101259.364230161","1194","1195063","Producción de Aguacate","Tonelada","60","2014","SACAMA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
