"COD_DEPTO","COD_DANE","OBJECTID","ID_ESPACIAL","AREA_OFICIAL","ENTIDAD_TERRITORIAL","NOM_DEPARTAMENTO","NOM_MUNICIPIO","INPOLY_FID","SIMPGNFLAG","MAXSIMPTOL","MINSIMPTOL","SHAPE.AREA","SHAPE.LEN","ID_DATO","ID_INDICADOR","DATO","UNIDAD_MEDIDA","VALOR","ANO","REGISTRO_ESPACIAL","SUBSISTEMA","TEMA","ID_UNIDAD_ESPACIAL",
"91","91540","27","91540","","PUERTO NARIÑO","AMAZONAS","PUERTO NARIÑO","1","","5000","5000","1519911506.82014","204531.733706839","1194","280871","Producción de Aguacate","Tonelada","75","2008","PUERTO NARINO","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"91","91001","28","91001","","LETICIA","AMAZONAS","LETICIA","2","","5000","5000","6174022827.92758","368016.020440247","1194","280870","Producción de Aguacate","Tonelada","94","2008","LETICIA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"41","41244","49","41244","","ELÍAS","HUILA","ELÍAS","89","","5000","5000","80388195.7673166","44968.985104171006","1194","280198","Producción de Aguacate","Tonelada","240","2008","ELIAS","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"05","05809","55","05809","","TITIRIBÍ","ANTIOQUIA","TITIRIBÍ","95","","5000","5000","134424131.721875","46812.7248559203","1194","280524","Producción de Aguacate","Tonelada","","2008","TITIRIBI","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"05","05148","56","05148","","CARMEN DE VIBORAL","ANTIOQUIA","CARMEN DE VIBORAL","96","","5000","5000","413232505.824847","103121.574225396","1194","280481","Producción de Aguacate","Tonelada","1275","2008","CARMEN DE VIBORAL","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"05","05615","58","05615","","RIONEGRO","ANTIOQUIA","RIONEGRO","98","","5000","5000","201290401.858613","63758.3406498896","1194","280513","Producción de Aguacate","Tonelada","1100","2008","RIONEGRO","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"05","05059","59","05059","","ARMENIA","ANTIOQUIA","ARMENIA","99","","5000","5000","113544916.83624","49390.9490104582","1194","280476","Producción de Aguacate","Tonelada","24","2008","ARMENIA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"05","05440","61","05440","","MARINILLA","ANTIOQUIA","MARINILLA","101","","5000","5000","111269456.733023","43870.2637207645","1194","280505","Producción de Aguacate","Tonelada","360","2008","MARINILLA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"66","66088","147","66088","","BELÉN DE UMBRÍA","RISARALDA","BELÉN DE UMBRÍA","132","","5000","5000","175910364.235541","51177.8323040244","1194","280548","Producción de Aguacate","Tonelada","354","2008","BELEN DE UMBRIA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"19","19760","152","19760","","SOTARÁ (Paispamba)","CAUCA","SOTARÁ (Paispamba)","137","","5000","5000","507862086.644146","121854.955648939","1194","280167","Producción de Aguacate","Tonelada","40","2008","SOTARA (Paispamba)","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
