"COD_DEPTO","COD_DANE","OBJECTID","ID_ESPACIAL","AREA_OFICIAL","ENTIDAD_TERRITORIAL","NOM_DEPARTAMENTO","NOM_MUNICIPIO","INPOLY_FID","SIMPGNFLAG","MAXSIMPTOL","MINSIMPTOL","SHAPE.AREA","SHAPE.LEN","ID_DATO","ID_INDICADOR","DATO","UNIDAD_MEDIDA","VALOR","ANO","REGISTRO_ESPACIAL","SUBSISTEMA","TEMA","ID_UNIDAD_ESPACIAL",
"41","41244","49","41244","","ELÍAS","HUILA","ELÍAS","89","","5000","5000","80388195.7673166","44968.985104171006","1194","62871","Producción de Aguacate","Tonelada","240","2006","ELIAS","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"41","41530","97","41530","","PALESTINA","HUILA","PALESTINA","76","","5000","5000","193825656.193163","65607.1621895637","1194","62880","Producción de Aguacate","Tonelada","225","2006","PALESTINA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"05","05059","59","05059","","ARMENIA","ANTIOQUIA","ARMENIA","99","","5000","5000","113544916.83624","49390.9490104582","1194","63388","Producción de Aguacate","Tonelada","793.4","2006","ARMENIA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"66","66088","147","66088","","BELÉN DE UMBRÍA","RISARALDA","BELÉN DE UMBRÍA","132","","5000","5000","175910364.235541","51177.8323040244","1194","62921","Producción de Aguacate","Tonelada","360","2006","BELEN DE UMBRIA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"17","17486","148","17486","","NEIRA","CALDAS","NEIRA","133","","5000","5000","382555029.043666","113172.35341911501","1194","62645","Producción de Aguacate","Tonelada","200","2006","NEIRA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"41","41396","160","41396","","LA PLATA","HUILA","LA PLATA","143","","5000","5000","807004130.590903","141357.019769211","1194","62877","Producción de Aguacate","Tonelada","468","2006","LA PLATA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"41","41306","107","41306","","GIGANTE","HUILA","GIGANTE","146","","5000","5000","509461209.783519","101280.444655962","1194","62873","Producción de Aguacate","Tonelada","324","2006","GIGANTE","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"17","17013","112","17013","","AGUADAS","CALDAS","AGUADAS","151","","5000","5000","481267043.28764","119971.895713115","1194","62655","Producción de Aguacate","Tonelada","","2006","AGUADAS","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"17","17662","115","17662","","SAMANÁ","CALDAS","SAMANÁ","156","","5000","5000","765100967.049446","142334.571469891","1194","62650","Producción de Aguacate","Tonelada","14","2006","SAMANA","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"41","41319","117","41319","","GUADALUPE","HUILA","GUADALUPE","158","","5000","5000","252112928.26977","67834.33270607071","1194","62874","Producción de Aguacate","Tonelada","60","2006","GUADALUPE","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"20","20238","120","20238","","EL COPEY","CESAR","EL COPEY","105","","5000","5000","956809229.232857","134580.52852822","1194","62659","Producción de Aguacate","Tonelada","144","2006","EL COPEY","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
"20","20443","124","20443","","MANAURE BALCÓN DEL CESAR","CESAR","MANAURE BALCÓN DEL CESAR","109","","5000","5000","136816998.495151","64180.594460983906","1194","62661","Producción de Aguacate","Tonelada","455","2006","MANAURE BALCON DEL CESAR","PRODUCTIVIDAD","ECONOMICO PRODUCTIVO","1",
